CITY;PRICES;PER CAPITA
Roseira;151809;15803,55
Rubiácea;59227;21702,75
Rubinéia;30289;10583,32
Sabino;100427;19216,73
Sagres;22714;9483,92
Sales;57749;10596,21
Sales Oliveira;191663;18136,16
Salesópolis;129905;8306,49
Salmourão;52512;10899,11
Saltinho;118896;16843,13
Salto;3337553;31614,89
Salto de Pirapora;932263;23224,72
Salto Grande;95349;10851,15
Sandovalina;127615;34499,76
Santa Adélia;206412;14401,18
Santa Albertina;82761;14461,17
Santa Bárbara d'Oeste;3514169;19507,12
Santa Branca;208408;15134,93
Santa Clara d'Oeste;31141;14942,78
Santa Cruz da Conceição;94380;23606,92
Santa Cruz da Esperança;26383;13509,02
Santa Cruz das Palmeiras;295196;9848,41
Santa Cruz do Rio Pardo;964845;21963,74
Santa Ernestina;53512;9610,61
Santa Fé do Sul;536437;18349,12
Santa Gertrudes;915666;42305,76
Santa Isabel;963673;19096,25
Santa Lúcia;77501;9398,58
Santa Maria da Serra;86361;15939,70
Santa Mercedes;40827;14421,49
Santa Rita d'Oeste;28794;11322,79
Santa Rita do Passa Quatro;458604;17358,23
Santa Rosa de Viterbo;571067;23923,05
Santa Salete;17177;11870,73
Santana da Ponte Pensa;19355;11794,91
Santana de Parnaíba;4699134;43160,82
Santo Anastácio;226936;11071,11
Santo André;18499215;27450,41
Santo Antônio da Alegria;114880;18223,32
Santo Antônio de Posse;471604;22854,56
Santo Antônio do Aracanguá;202784;26587,61
Santo Antônio do Jardim;78919;13279,35
Santo Antônio do Pinhal;54369;8343,90
Santo Expedito;21102;7520,45
Santópolis do Aguapeí;41930;9794,38
Santos;13312005;31713,60
São Bento do Sapucaí;107208;10247,33
São Bernardo do Campo;42559739;55618,89
São Caetano do Sul;11687265;78138,57
São Carlos;6712498;30245,20
São Francisco;24093;8626,23
São João da Boa Vista;1722781;20592,40
São João das Duas Pontes;23837;9289,62
São João de Iracema;29622;16641,60
São João do Pau d'Alho;25569;12158,15
São Joaquim da Barra;924865;19879,31
São José da Bela Vista;95527;11362,83
São José do Barreiro;27992;6832,29
São José do Rio Pardo;1139941;21959,95
São José do Rio Preto;9367640;22935,45
São José dos Campos;25796747;41107,47
São Lourenço da Serra;211455;15120,15
São Luís do Paraitinga;85164;8185,65
São Manuel;695490;18116,43
São Miguel Arcanjo;330203;10498,63
São Paulo;446958815;39749,57
São Pedro;397673;12549,63
São Pedro do Turvo;92018;12766,16
São Roque;1430113;18131,85
São Sebastião;3792327;51363,57
São Sebastião da Grama;156936;12969,89
São Simão;245123;17081,74
São Vicente;3214342;9669,40
Sarapuí;92552;10252,78
Sarutaiá;25244;6969,70
Sebastianópolis do Sul;236356;77979,49
Serra Azul;82034;7286,07
Serra Negra;386880;14675,66
Serrana;469615;12075,17
Sertãozinho;3799311;34509,70
Sete Barras;239977;18451,24
Severínia;221500;14286,60
Silveiras;37022;6391,99
Socorro;430605;11734,69
Sorocaba;18670200;31843,51
Sud Mennucci;133948;18003,76
Sumaré;9231358;38235,06
Suzanápolis;115380;34105,69
Suzano;6580338;25061,46
Tabapuã;170273;14980,91
Tabatinga;140470;9564,88
Taboão da Serra;5607690;22914,81
Taciba;126887;22206,34
Taguaí;114345;10563,08
Taiaçu;53488;9074,97
Taiúva;63692;11693,07
Tambaú;386474;17245,61
Tanabi;398455;16564,35
Tapiraí;72365;9028,74
Tapiratiba;172524;13538,70
Taquaral;24022;8812,20
Taquaritinga;723487;13401,62
Taquarituba;254468;11414,20
Taquarivaí;68608;13324,49
Tarabai;60211;9115,92
Tarumã;558447;43347,55
Tatuí;2315838;21447,91
Taubaté;11825635;42427,76
Tejupá;32843;6829,43
Teodoro Sampaio;295296;13805,99
Terra Roxa;93075;10943,60
Tietê;1266040;34378,03
Timburi;22828;8627,20
Torre de Pedra;13945;6178,66
Torrinha;116911;12530,66
Trabiju;25339;16411,48
Tremembé;413742;10094,96
Três Fronteiras;53559;9867,26
Tuiuti;115232;19415,68
Tupã;985478;15521,29
Tupi Paulista;171808;12046,53
Turiúba;35108;18219,14
Turmalina;29392;14859,22
Ubarana;152267;28805,62
Ubatuba;898760;11395,46
Ubirajara;39772;8979,83
Uchoa;191745;20236,89
União Paulista;30470;19055,66
Urânia;120755;13666,24
Uru;20640;16498,40
Urupês;163128;12824,54
Valentim Gentil;204493;18538,03
Valinhos;3918466;36632,13
Valparaíso;488941;21618,29
Vargem;59850;6800,34
Vargem Grande do Sul;457451;11650,05
Vargem Grande Paulista;885164;20611,10
Várzea Paulista;1836996;17144,79
Vera Cruz;86029;7988,55
Vinhedo;5228320;82096,58
Viradouro;171781;9925,52
Vista Alegre do Alto;201468;29244,88
Vitória Brasil;16014;9219,22
Votorantim;1875814;17229,54
Votuporanga;1472025;17373,54
Zacarias;57500;24636,00
