;2010;;2011;;2012;;2013 (1);;;;;;
;"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";;;;;
Fernandópolis;  1 055 334;    16309,42;  1 151 083;    17727,78;  1 330 375;    20417,99;  1 527 018;    22608,09;;;;;
Fernão;   23 237;    14866,92;   24 804;    15758,43;   26 574;    16787,27;   35 072;    21307,25;;;;;
Ferraz de Vasconcelos;  2 150 444;    12778,21;  2 371 368;    13924,89;  2 510 777;    14578,72;  2 592 684;    14377,76;;;;;
Flora Rica;   21 344;    12182,90;   21 628;    12574,21;   28 666;    16982,48;   35 014;    20608,42;;;;;
Floreal;   40 384;    13447,82;   53 176;    17802,41;   51 307;    17275,06;   54 879;    18040,34;;;;;
Flórida Paulista;   140 313;    10920,17;   141 954;    10934,66;   162 458;    12390,01;   180 945;    13203,81;;;;;
Florínia;   79 410;    28069,88;   99 682;    35512,07;   102 707;    36878,61;   110 178;    38754,28;;;;;
Franca;  5 049 074;    15838,49;  5 944 181;    18517,00;  6 693 389;    20702,89;  7 342 433;    21804,85;;;;;
Francisco Morato;   855 991;    5539,03;   978 883;    6272,32;  1 064 270;    6752,86;  1 221 496;    7415,68;;;;;
Franco da Rocha;  1 598 037;    12142,86;  1 785 285;    13382,24;  1 960 543;    14506,42;  2 326 997;    16407,64;;;;;
Gabriel Monteiro;   35 443;    13102,64;   37 636;    13903,21;   40 423;    14938,28;   42 538;    15246,74;;;;;
Gália;   78 569;    11206,49;   79 205;    11401,34;   92 175;    13389,78;   92 076;    13118,16;;;;;
Garça;   700 076;    16234,03;   737 814;    17113,89;   853 115;    19790,18;   889 110;    19989,44;;;;;
Gastão Vidigal;   38 031;    9070,01;   40 641;    9585,05;   47 295;    11037,29;   50 652;    11301,23;;;;;
Gavião Peixoto;   63 333;    14328,73;   59 985;    13504,02;   83 310;    18662,67;   99 961;    21566,50;;;;;
General Salgado;   172 339;    16145,69;   229 446;    21528,10;   245 187;    23030,90;   291 695;    26590,23;;;;;
Getulina;   145 848;    13533,28;   142 529;    13202,01;   84 898;    7842,79;   166 498;    14853,96;;;;;
