Código IBGE do Município;Código da Unidade da Federação;Sigla da Unidade da Federação;Nome das Grandes Regiões;Código IBGE da Mesoregião;Nome da Mesoregião;Código IBGE da Microregião;Nome da Microregião;IDHM 1991;IDHM 2000;IDHM 2010
355610;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35003;Votuporanga;0,499;0,651;0,735
355620;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,597;0,741;0,819
355630;35;SP;Sudeste;3503;Araþatuba;35017;Araþatuba;0,494;0,669;0,725
355635;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35048;Braganþa Paulista;0,428;0,596;0,699
355640;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,489;0,635;0,737
355645;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35060;Itapecerica da Serra;0,485;0,659;0,77
355650;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35047;JundiaÝ;0,477;0,646;0,759
355660;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,515;0,665;0,754
355670;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,581;0,749;0,817
355680;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,502;0,646;0,739
355690;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,505;0,668;0,744
355695;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,49;0,571;0,725
355700;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,527;0,688;0,767
355710;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35003;Votuporanga;0,571;0,723;0,79
355715;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,488;0,64;0,729
355720;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,47;0,642;0,729
355730;35;SP;Sudeste;3507;Campinas;35031;Moji Mirim;0,485;0,638;0,74
