"","Sigla","Codigo","Munic<U+00ED>pio","1991","2000"
"228","SP",3519907,"Iep<U+00EA>",29.464,30.51
"229","SP",3520004,"Igara<U+00E7>u do Tiet<U+00EA>",6.265,12.869
"230","SP",3520103,"Igarapava",19.745,14.628
"231","SP",3520202,"Igarat<U+00E1>",29.215,23.236
"232","SP",3520301,"Iguape",37.513,33.449
"233","SP",3520400,"Ilhabela",21.893,17.744
"234","SP",3520426,"Ilha Comprida",35.053,25.244
"235","SP",3520442,"Ilha Solteira",5.074,9.312
"236","SP",3520509,"Indaiatuba",9.73,9.072
"237","SP",3520608,"Indiana",31.136,23.751
"238","SP",3520707,"Indiapor<U+00E3>",31.348,22.826
"239","SP",3520806,"In<U+00FA>bia Paulista",31.009,21.129
"240","SP",3520905,"Ipaussu",22.205,17.06
"241","SP",3521002,"Iper<U+00F3>",20.325,22.811
"242","SP",3521101,"Ipe<U+00FA>na",18.733,12.775
"243","SP",3521150,"Ipigu<U+00E1>",20.714,17.95
"244","SP",3521200,"Iporanga",53.765,54.552
"245","SP",3521309,"Ipu<U+00E3>",16.133,17.284
"246","SP",3521408,"Iracem<U+00E1>polis",7.981,6.923
"247","SP",3521507,"Irapu<U+00E3>",29.438,20.48
"248","SP",3521606,"Irapuru",43.76,28.417
"249","SP",3521705,"Itaber<U+00E1>",48.999,46.12
"250","SP",3521804,"Ita<U+00ED>",36.356,31.339
"251","SP",3521903,"Itajobi",22.496,16.348
"252","SP",3522000,"Itaju",28.81,12.41
"253","SP",3522109,"Itanha<U+00E9>m",20.063,23.739
"254","SP",3522158,"Ita<U+00F3>ca",73.013,67.233
"255","SP",3522208,"Itapecerica da Serra",14.478,21.778
"256","SP",3522307,"Itapetininga",19.715,18.319
"257","SP",3522406,"Itapeva",38.316,33.611
"258","SP",3522505,"Itapevi",25.504,27.188
"259","SP",3522604,"Itapira",9.068,11.05
"260","SP",3522653,"Itapirapu<U+00E3> Paulista",63.3,63.537
"261","SP",3522703,"It<U+00E1>polis",16.422,18.309
"262","SP",3522802,"Itaporanga",52.628,43.246
"263","SP",3522901,"Itapu<U+00ED>",14.433,11.981
"264","SP",3523008,"Itapura",34.669,34.812
"265","SP",3523107,"Itaquaquecetuba",20.67,27.577
"266","SP",3523206,"Itarar<U+00E9>",43.603,39.501
"267","SP",3523305,"Itariri",42.613,33.1
"268","SP",3523404,"Itatiba",7.923,7.258
"269","SP",3523503,"Itatinga",24.467,21.163
"270","SP",3523602,"Itirapina",12.449,16.629
"271","SP",3523701,"Itirapu<U+00E3>",25.802,19.765
"272","SP",3523800,"Itobi",32.54,22.238
"273","SP",3523909,"Itu",11.472,12.093
"274","SP",3524006,"Itupeva",19.681,9.578
"275","SP",3524105,"Ituverava",17.436,15.899
"276","SP",3524204,"Jaborandi",15.809,23.61
"277","SP",3524303,"Jaboticabal",9.534,11.038
"278","SP",3524402,"Jacare<U+00ED>",17.6,14.006
"279","SP",3524501,"Jaci",25.219,14.848
"280","SP",3524600,"Jacupiranga",36.781,34.222
"281","SP",3524709,"Jaguari<U+00FA>na",12.628,8.671
"282","SP",3524808,"Jales",18.9,11.09
"283","SP",3524907,"Jambeiro",42.664,23.603
"284","SP",3525003,"Jandira",14.07,17.082
"285","SP",3525102,"Jardin<U+00F3>polis",12.808,12.162
"286","SP",3525201,"Jarinu",28.385,19.826
"287","SP",3525300,"Ja<U+00FA>",6.285,6.353
"288","SP",3525409,"Jeriquara",25.19,18.232
"289","SP",3525508,"Joan<U+00F3>polis",25.145,15.579
"290","SP",3525607,"Jo<U+00E3>o Ramalho",33.819,27.154
"291","SP",3525706,"Jos<U+00E9> Bonif<U+00E1>cio",16.794,13.105
"292","SP",3525805,"J<U+00FA>lio Mesquita",41.179,30.151
"293","SP",3525854,"Jumirim",16.497,13.12
"294","SP",3525904,"Jundia<U+00ED>",7.227,7.81
"295","SP",3526001,"Junqueir<U+00F3>polis",37.208,24.607
"296","SP",3526100,"Juqui<U+00E1>",36.757,38.706
"297","SP",3526209,"Juquitiba",40.574,28.537
"298","SP",3526308,"Lagoinha",57.331,40.029
"299","SP",3526407,"Laranjal Paulista",15.736,12.335
"300","SP",3526506,"Lav<U+00ED>nia",27.729,19.857
"301","SP",3526605,"Lavrinhas",49.545,29.972
"302","SP",3526704,"Leme",9.694,14.283
"303","SP",3526803,"Len<U+00E7><U+00F3>is Paulista",10.618,9.406
"304","SP",3526902,"Limeira",9.977,12.32
"305","SP",3527009,"Lind<U+00F3>ia",15.247,8.266
"306","SP",3527108,"Lins",15.409,11.722
"307","SP",3527207,"Lorena",22.618,18.712
"308","SP",3527256,"Lourdes",27.686,23.009
"309","SP",3527306,"Louveira",12.961,10.466
"310","SP",3527405,"Luc<U+00E9>lia",32.018,22.545
"311","SP",3527504,"Lucian<U+00F3>polis",48.878,24.121
"312","SP",3527603,"Lu<U+00ED>s Ant<U+00F4>nio",13.283,15.87
"313","SP",3527702,"Luizi<U+00E2>nia",36.266,22.378
"314","SP",3527801,"Lup<U+00E9>rcio",34.632,24.972
"315","SP",3527900,"Lut<U+00E9>cia",40.002,26.41
