;CITY;HDI;SCORE
14870;REDENÇÃO DA SERRA;0,657;3
14871;REGENTE FEIJÓ;0,768;2
14872;REGINÓPOLIS;0,728;2
14873;REGISTRO;0,754;2
14874;RESTINGA;0,705;2
14875;RIBEIRA;0,698;3
14876;RIBEIRÃO BONITO;0,712;2
14877;RIBEIRÃO BRANCO;0,639;3
14878;RIBEIRÃO CORRENTE;0,711;2
14879;RIBEIRÃO DO SUL;0,747;2
14880;RIBEIRÃO DOS ÍNDIOS;0,721;2
14881;RIBEIRÃO GRANDE;0,705;2
14882;RIBEIRÃO PIRES;0,784;2
14883;RIBEIRÃO PRETO;0,8;1
14884;RIVERSUL;0,664;3
14885;RIFAINA;0,74;2
14886;RINCÃO;0,734;2
14887;RINÓPOLIS;0,723;2
14888;RIO CLARO;0,803;1
14889;RIO DAS PEDRAS;0,759;2
14890;RIO GRANDE DA SERRA;0,749;2
14891;RIOLÂNDIA;0,703;2
14892;ROSANA;0,764;2
14893;ROSEIRA;0,737;2
14894;RUBIÁCEA;0,721;2
14895;RUBINÉIA;0,759;2
14896;SABINO;0,728;2
14897;SAGRES;0,73;2
14898;SALES;0,751;2
14899;SALES OLIVEIRA;0,772;2
14900;SALESÓPOLIS;0,732;2
14901;SALMOURÃO;0,719;2
14902;SALTINHO;0,791;2
14903;SALTO;0,78;2
14904;SALTO DE PIRAPORA;0,729;2
14905;SALTO GRANDE;0,704;2
14906;SANDOVALINA;0,709;2
14907;SANTA ADÉLIA;0,76;2
14908;SANTA ALBERTINA;0,728;2
14909;SANTA BÁRBARA D'OESTE;0,781;2
14910;SANTA BRANCA;0,735;2
14911;SANTA CLARA D'OESTE;0,733;2
14912;SANTA CRUZ DA CONCEIÇÃO;0,79;2
14913;SANTA CRUZ DA ESPERANÇA;0,743;2
14914;SANTA CRUZ DAS PALMEIRAS;0,728;2
14915;SANTA CRUZ DO RIO PARDO;0,762;2
14916;SANTA ERNESTINA;0,738;2
14917;SANTA FÉ DO SUL;0,784;2
14918;SANTA GERTRUDES;0,737;2
14919;SANTA ISABEL;0,738;2
14920;SANTA LÚCIA;0,737;2
14921;SANTA MARIA DA SERRA;0,686;3
14922;SANTA MERCEDES;0,739;2
14923;SANTANA DA PONTE PENSA;0,773;2
14924;SANTANA DE PARNAÍBA;0,814;1
14925;SANTA RITA D'OESTE;0,761;2
14926;SANTA RITA DO PASSA QUATRO;0,775;2
14927;SANTA ROSA DE VITERBO;0,77;2
14928;SANTA SALETE;0,772;2
14929;SANTO ANASTÁCIO;0,753;2
14930;SANTO ANDRÉ;0,815;1
14931;SANTO ANTÔNIO DA ALEGRIA;0,702;2
14932;SANTO ANTÔNIO DE POSSE;0,702;2
14933;SANTO ANTÔNIO DO ARACANGUÁ;0,757;2
14934;SANTO ANTÔNIO DO JARDIM;0,714;2
14935;SANTO ANTÔNIO DO PINHAL;0,706;2
14936;SANTO EXPEDITO;0,732;2
14937;SANTÓPOLIS DO AGUAPEÍ;0,74;2
14938;SANTOS;0,84;1
14939;SÃO BENTO DO SAPUCAÍ;0,72;2
14940;SÃO BERNARDO DO CAMPO;0,805;1
14941;SÃO CAETANO DO SUL;0,862;1
14942;SÃO CARLOS;0,805;1
14943;SÃO FRANCISCO;0,723;2
14944;SÃO JOÃO DA BOA VISTA;0,797;2
14945;SÃO JOÃO DAS DUAS PONTES;0,72;2
14946;SÃO JOÃO DE IRACEMA;0,748;2
14947;SÃO JOÃO DO PAU D'ALHO;0,75;2
14948;SÃO JOAQUIM DA BARRA;0,762;2
14949;SÃO JOSÉ DA BELA VISTA;0,693;3
14950;SÃO JOSÉ DO BARREIRO;0,684;3
14951;SÃO JOSÉ DO RIO PARDO;0,774;2
14952;SÃO JOSÉ DO RIO PRETO;0,797;2
14953;SÃO JOSÉ DOS CAMPOS;0,807;1
14954;SÃO LOURENÇO DA SERRA;0,728;2
14955;SÃO LUÍS DO PARAITINGA;0,697;3
14956;SÃO MANUEL;0,744;2
14957;SÃO MIGUEL ARCANJO;0,71;2
14958;SÃO PAULO;0,805;1
14959;SÃO PEDRO;0,755;2
14960;SÃO PEDRO DO TURVO;0,703;2
14961;SÃO ROQUE;0,768;2
14962;SÃO SEBASTIÃO;0,772;2
14963;SÃO SEBASTIÃO DA GRAMA;0,701;2
14964;SÃO SIMÃO;0,766;2
14965;SÃO VICENTE;0,768;2
14966;SARAPUÍ;0,707;2
14967;SARUTAIÁ;0,688;3
14968;SEBASTIANÓPOLIS DO SUL;0,773;2
14969;SERRA AZUL;0,686;3
14970;SERRANA;0,729;2
14971;SERRA NEGRA;0,767;2
14972;SERTÃOZINHO;0,761;2
14973;SETE BARRAS;0,673;3
14974;SEVERÍNIA;0,715;2
14975;SILVEIRAS;0,678;3
14976;SOCORRO;0,729;2
14977;SOROCABA;0,798;2
14978;SUD MENNUCCI;0,747;2
14979;SUMARÉ;0,762;2
14980;SUZANO;0,765;2
14981;SUZANÁPOLIS;0,699;3
14982;TABAPUÃ;0,735;2
14983;TABATINGA;0,704;2
14984;TABOÃO DA SERRA;0,769;2
14985;TACIBA;0,723;2
14986;TAGUAÍ;0,709;2
14987;TAIAÇU;0,71;2
14988;TAIÚVA;0,76;2
14989;TAMBAÚ;0,731;2
14990;TANABI;0,748;2
14991;TAPIRAÍ;0,681;3
14992;TAPIRATIBA;0,751;2
14993;TAQUARAL;0,759;2
14994;TAQUARITINGA;0,748;2
14995;TAQUARITUBA;0,701;2
14996;TAQUARIVAÍ;0,679;3
14997;TARABAI;0,726;2
14998;TARUMÃ;0,753;2
14999;TATUÍ;0,752;2
15000;TAUBATÉ;0,8;1
15001;TEJUPÁ;0,668;3
15002;TEODORO SAMPAIO;0,741;2
15003;TERRA ROXA;0,749;2
15004;TIETÊ;0,778;2
15005;TIMBURI;0,71;2
15006;TORRE DE PEDRA;0,714;2
15007;TORRINHA;0,744;2
15008;TRABIJU;0,722;2
15009;TREMEMBÉ;0,785;2
15010;TRÊS FRONTEIRAS;0,753;2
15011;TUIUTI;0,728;2
15012;TUPÃ;0,771;2
15013;TUPI PAULISTA;0,769;2
15014;TURIÚBA;0,751;2
15015;TURMALINA;0,736;2
15016;UBARANA;0,7;2
15017;UBATUBA;0,751;2
15018;UBIRAJARA;0,727;2
15019;UCHOA;0,721;2
15020;UNIÃO PAULISTA;0,749;2
15021;URÂNIA;0,746;2
15022;URU;0,712;2
15023;URUPÊS;0,745;2
15024;VALENTIM GENTIL;0,735;2
15025;VALINHOS;0,819;1
15026;VALPARAÍSO;0,725;2
15027;VARGEM;0,699;3
15028;VARGEM GRANDE DO SUL;0,737;2
15029;VARGEM GRANDE PAULISTA;0,77;2
15030;VÁRZEA PAULISTA;0,759;2
15031;VERA CRUZ;0,754;2
15032;VINHEDO;0,817;1
15033;VIRADOURO;0,739;2
15034;VISTA ALEGRE DO ALTO;0,744;2
15035;VITÓRIA BRASIL;0,725;2
15036;VOTORANTIM;0,767;2
15037;VOTUPORANGA;0,79;2
15038;ZACARIAS;0,729;2
15039;CHAVANTES;0,729;2
15040;ESTIVA GERBI;0,74;2
